,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
16,Bell Farms,Bell Farms Chopped Spinach,0.95,0.95,250,250,Merrylands,250,g,1,,1,Natures Nutrients,Frozen Chopped Spinach,https://www.coles.com.au/product/natures-nutrients-frozen-chopped-spinach-250g-1313760
17,Bell Farms,Bell Farms Crunchy Chips,2,3,750,750,East Village,,,,,,,,
18,Bell Farms,Bell Farms Crunchy Chips,2,3,750,750,Merrylands,,,,,,,,
19,Big M,Chocolate milk,4.3,5.25,2000,2000,East Village,2000,ml,6,,,,,https://www.coles.com.au/product/big-m-original-chocolate-flavoured-milk-2l-5018070
20,Big M,Chocolate milk,4.3,5.25,2000,2000,Merrylands,2000,ml,6,,,,,https://www.coles.com.au/product/big-m-original-chocolate-flavoured-milk-2l-5018070
21,Big M,Strawberry milk,4.3,4.3,2000,2000,East Village,2000,ml,5.8,,1,Oak,Classic Strawberry Flavoured Milk,https://www.coles.com.au/product/oak-classic-strawberry-flavoured-milk-2l-5467233
22,Big M,Strawberry milk,4.3,4.3,2000,2000,Merrylands,2000,ml,6,,1,Oak,Classic Strawberry Flavoured Milk,https://www.coles.com.au/product/big-m-strawberry-flavoured-milk-2l-5459938
23,Boston Bay,Mussels Cooked,7,7,500,500,East Village,500,g,8.5,,1,Coles,Cooked Mussel Meat,https://www.coles.com.au/product/coles-cooked-mussel-meat-500g-1973340
24,Boston Bay,Mussels Cooked,7,7,500,500,Merrylands,500,g,8.5,,1,Coles,Cooked Mussel Meat,https://www.coles.com.au/product/coles-cooked-mussel-meat-500g-1973340
25,Chris,Chris' Homestyle Hommus,6.5,6.5,1000,1000,East Village,1000,g,8,,1,Yumi's,Dip Hommus Traditional,https://www.coles.com.au/product/yumi's-dip-hommus-traditional-1kg-7106189
26,Chris,Chris' Homestyle Hommus,6.5,6.5,1000,1000,Merrylands,1000,g,8,,1,Yumi's,Dip Hommus Traditional,https://www.coles.com.au/product/yumi's-dip-hommus-traditional-1kg-7106189
27,Chris,Homestyle Tzatziki,6.5,6.5,800,800,East Village,200,g,2.4,,1,Coles,Dairy Tzatziki Dip,https://www.coles.com.au/product/coles-dairy-tzatziki-dip-200g-6007487
28,Chris,Homestyle Tzatziki,6.5,6.5,800,800,Merrylands,220,g,5,,1,Obela,Classic Tzatziki,https://www.coles.com.au/product/obela-classic-tzatziki-220g-2882851
29,Coles,100% Australian Sultanas,5,5,1000,1000,East Village,1000,g,5,,,,,https://www.coles.com.au/product/coles-100percent-australian-sultanas-1kg-5357632
30,Coles,100% Australian Sultanas,5,5,1000,1000,Merrylands,1000,g,5,,,,,https://www.coles.com.au/product/coles-100percent-australian-sultanas-1kg-5357632
31,Coles,5 Star Extra Lean Beef Mince,9,9,500,500,East Village,500,g,10.5,,1,Coles,No Added Hormone Beef 5 Star Extra Trim Mince,https://www.coles.com.au/product/coles-no-added-hormone-beef-5-star-extra-trim-mince-500g-8112799
32,Coles,5 Star Extra Lean Beef Mince,9,9,500,500,Merrylands,500,g,10.5,,1,Coles,Coles No Added Hormone Beef 5 Star Extra Trim Mince,https://www.coles.com.au/product/coles-no-added-hormone-beef-5-star-extra-trim-mince-500g-8112799
33,Coles,Apple & Blackcurrant Juice,2,2,2000,2000,East Village,2000,ml,2.8,,,,,https://www.coles.com.au/product/coles-apple-and-blackcurrant-juice-2l-2531529
